video_id,label,start_time,end_time,total_time
SK6FW,c155,0.00,18.80,32.67
SK6FW,c100,16.00,34.00,32.67
SK6FW,c003,5.00,11.30,32.67
VHIG7,c061,0.00,5.50,27.88
VHIG7,c063,0.00,4.10,27.88
VHIG7,c051,0.00,29.00,27.88
VHIG7,c156,0.00,29.00,27.88
VHIG7,c052,0.00,29.00,27.88
VHIG7,c014,0.00,29.00,27.88
0R6K4,c106,4.90,22.50,30.33
0R6K4,c107,4.60,9.60,30.33
0R6K4,c106,8.00,15.90,30.33
0R6K4,c009,18.40,23.90,30.33
0R6K4,c118,4.30,24.10,30.33
PSPMA,c055,2.50,30.30,31.25
PSPMA,c061,23.40,32.00,31.25
PSPMA,c063,20.40,28.80,31.25
PSPMA,c156,24.90,32.00,31.25
PSPMA,c132,0.00,32.00,31.25
PSPMA,c059,0.00,32.00,31.25
PSPMA,c119,0.00,6.50,31.25
PSPMA,c120,21.30,27.40,31.25
PSPMA,c062,25.20,32.00,31.25
PSPMA,c118,21.90,32.00,31.25
MD41D,c015,6.70,39.50,40.50
MD41D,c092,11.00,37.70,40.50
MD41D,c087,38.50,42.00,40.50
MD41D,c097,38.50,42.00,40.50
SDXZ8,c137,35.60,52.00,51.42
SDXZ8,c138,33.50,38.80,51.42
SDXZ8,c118,11.60,27.80,51.42
SDXZ8,c121,8.30,24.70,51.42
SDXZ8,c119,20.40,27.20,51.42
SDXZ8,c127,40.00,52.00,51.42
SDXZ8,c120,1.10,28.00,51.42
S673O,c122,0.00,3.20,33.92
S673O,c065,24.40,31.40,33.92
S673O,c107,9.70,24.80,33.92
S673O,c123,0.90,35.00,33.92
S673O,c106,24.40,35.00,33.92
S673O,c122,0.00,18.80,33.92
S673O,c156,24.90,35.00,33.92
S673O,c067,32.00,35.00,33.92
S673O,c069,32.00,35.00,33.92
S673O,c063,32.00,35.00,33.92
S673O,c061,32.00,35.00,33.92
U79C9,c072,20.00,36.00,34.88
U79C9,c073,15.30,27.00,34.88
U79C9,c057,3.20,17.50,34.88
N915C,c100,21.70,35.00,33.83
N915C,c102,20.90,35.00,33.83
N915C,c072,14.40,35.00,33.83
N915C,c155,0.00,16.60,33.83
N915C,c097,0.00,4.50,33.83
N915C,c127,23.60,35.00,33.83
N915C,c001,6.10,18.10,33.83
N915C,c073,15.40,28.60,33.83
FXRMG,c009,18.50,23.60,33.00
FXRMG,c026,1.50,22.80,33.00
FXRMG,c006,23.60,29.30,33.00
FXRMG,c008,22.90,28.10,33.00
FXRMG,c097,23.40,31.10,33.00
FXRMG,c028,18.80,25.00,33.00
FXRMG,c030,0.00,5.80,33.00
FXRMG,c154,20.60,25.50,33.00
FXRMG,c032,1.30,7.30,33.00
FXRMG,c141,22.60,27.90,33.00
P68QV,c020,23.60,29.80,30.58
P68QV,c152,0.00,3.50,30.58
P68QV,c016,0.00,15.80,30.58
P68QV,c015,0.00,28.00,30.58
P68QV,c023,23.10,32.00,30.58
P68QV,c156,14.40,32.00,30.58
P68QV,c062,12.70,32.00,30.58
P68QV,c061,13.50,20.20,30.58
P68QV,c097,26.50,32.00,30.58
78XZ9,c025,27.30,32.40,31.79
78XZ9,c026,0.00,33.00,31.79
78XZ9,c027,6.30,20.10,31.79
78XZ9,c152,3.70,10.00,31.79
78XZ9,c029,2.00,33.00,31.79
78XZ9,c032,0.50,33.00,31.79
78XZ9,c149,5.80,33.00,31.79
78XZ9,c030,0.00,4.40,31.79
0VOQC,c015,0.00,9.00,27.88
0VOQC,c021,5.40,10.50,27.88
0VOQC,c150,0.00,4.90,27.88
0VOQC,c017,0.00,9.50,27.88
0VOQC,c020,0.00,28.90,27.88
0VOQC,c156,5.80,25.30,27.88
0VOQC,c067,8.00,21.80,27.88
0VOQC,c065,12.00,20.70,27.88
0VOQC,c069,24.10,29.00,27.88
E6Q95,c132,12.30,17.50,25.42
E6Q95,c072,11.00,18.00,25.42
E6Q95,c155,3.70,11.80,25.42
E6Q95,c151,3.10,8.10,25.42
E6Q95,c070,8.40,26.00,25.42
E6Q95,c061,14.00,26.00,25.42
E6Q95,c073,8.20,26.00,25.42
E6Q95,c156,14.00,26.00,25.42
E6Q95,c123,2.80,26.00,25.42
G99VH,c015,4.80,23.70,38.75
G99VH,c018,9.20,19.30,38.75
G99VH,c128,18.90,37.50,38.75
G99VH,c087,17.40,33.40,38.75
G99VH,c017,1.50,17.90,38.75
G99VH,c129,7.10,15.60,38.75
G99VH,c128,13.30,30.50,38.75
G99VH,c107,19.90,29.10,38.75
DWHPO,c062,3.20,14.00,30.42
DWHPO,c063,1.30,7.60,30.42
DWHPO,c059,0.00,31.00,30.42
DWHPO,c011,0.00,31.00,30.42
DWHPO,c009,10.50,14.90,30.42
DWHPO,c020,8.80,15.10,30.42
DWHPO,c018,27.40,31.00,30.42
DWHPO,c017,15.70,21.30,30.42
DWHPO,c156,26.90,31.00,30.42
DWHPO,c015,3.90,8.80,30.42
H603E,c026,0.00,28.90,32.33
H603E,c027,0.00,8.00,32.33
H603E,c032,0.00,28.40,32.33
H603E,c051,0.00,33.00,32.33
H603E,c059,0.00,33.00,32.33
H603E,c116,20.70,29.00,32.33
H603E,c115,0.00,7.50,32.33
H603E,c115,8.80,23.80,32.33
H603E,c052,3.20,15.10,32.33
H603E,c156,26.50,33.00,32.33
H603E,c014,0.00,33.00,32.33
H603E,c126,23.60,28.50,32.33
H603E,c061,24.40,33.00,32.33
H603E,c063,24.70,31.30,32.33
H603E,c145,0.00,27.40,32.33
H603E,c067,27.10,33.00,32.33
H603E,c011,0.00,33.00,32.33
CBXVQ,c061,7.50,14.20,33.83
CBXVQ,c063,0.40,10.20,33.83
CBXVQ,c113,7.40,22.10,33.83
CBXVQ,c139,18.80,35.00,33.83
CBXVQ,c114,4.00,21.70,33.83
PN4MI,c145,3.60,13.80,30.50
PN4MI,c065,4.90,13.10,30.50
PN4MI,c149,15.60,29.90,30.50
PN4MI,c010,0.00,10.70,30.50
PN4MI,c014,0.00,32.00,30.50
PN4MI,c115,0.00,32.00,30.50
PN4MI,c118,0.00,32.00,30.50
PN4MI,c061,0.00,32.00,30.50
PN4MI,c152,0.30,6.90,30.50
PN4MI,c032,4.00,13.60,30.50
PN4MI,c156,17.70,25.40,30.50
VJ2QS,c061,11.20,21.00,23.75
VJ2QS,c059,10.30,21.30,23.75
VJ2QS,c011,10.40,21.40,23.75
VJ2QS,c063,11.40,15.80,23.75
VJ2QS,c023,11.40,15.80,23.75
VJ2QS,c024,11.80,20.50,23.75
VJ2QS,c110,1.60,5.80,23.75
VJ2QS,c154,0.00,14.50,23.75
VJ2QS,c109,1.60,10.90,23.75
VJ2QS,c064,10.00,21.70,23.75
FI1LR,c130,4.40,31.70,31.75
FI1LR,c062,0.40,31.40,31.75
AY08E,c094,10.30,23.00,21.58
AY08E,c096,10.80,23.00,21.58
AY08E,c152,10.80,23.00,21.58
AY08E,c000,0.00,23.00,21.58
7XNAI,c152,7.70,12.80,11.71
7XNAI,c151,5.50,12.10,11.71
7XNAI,c123,5.60,13.00,11.71
7XNAI,c009,1.00,8.10,11.71
7XNAI,c062,1.00,8.10,11.71
7XNAI,c014,8.60,13.00,11.71
7XNAI,c052,7.50,13.00,11.71
7XNAI,c011,7.70,13.00,11.71
IST7I,c061,16.60,28.50,40.42
IST7I,c132,0.00,41.00,40.42
IST7I,c041,0.00,4.20,40.42
IST7I,c156,18.40,32.80,40.42
IST7I,c070,35.00,41.00,40.42
IST7I,c040,0.00,5.00,40.42
IST7I,c044,22.10,29.70,40.42
IST7I,c123,0.00,41.00,40.42
OI3BC,c097,0.00,5.40,29.71
OI3BC,c033,0.00,5.90,29.71
OI3BC,c112,11.40,19.80,29.71
OI3BC,c001,0.50,8.20,29.71
OI3BC,c034,2.60,10.80,29.71
OI3BC,c006,11.50,24.60,29.71
OI3BC,c003,2.50,9.30,29.71
OI3BC,c082,10.80,24.20,29.71
F4BJJ,c027,10.50,30.00,29.04
F4BJJ,c117,2.80,12.80,29.04
F4BJJ,c020,1.50,12.50,29.04
F4BJJ,c022,7.70,12.60,29.04
F4BJJ,c026,7.30,30.00,29.04
F4BJJ,c029,14.10,30.00,29.04
F4BJJ,c032,9.90,30.00,29.04
F4BJJ,c150,0.00,4.50,29.04
F4BJJ,c009,0.60,12.00,29.04
F4BJJ,c030,5.60,13.80,29.04
F4BJJ,c023,4.80,12.00,29.04
83654,c011,10.30,31.00,29.83
83654,c151,5.00,15.10,29.83
83654,c041,17.70,27.30,29.83
83654,c009,6.10,12.80,29.83
83654,c059,8.20,14.90,29.83
83654,c067,0.00,10.10,29.83
83654,c118,0.00,9.90,29.83
83654,c068,0.00,13.10,29.83
83654,c040,13.40,31.00,29.83
83654,c119,0.00,12.60,29.83
0G0YF,c147,4.20,30.00,29.38
0G0YF,c118,15.40,21.70,29.38
0R5GS,c040,1.60,32.00,31.33
0R5GS,c043,1.00,7.20,31.33
0R5GS,c096,11.80,29.60,31.33
0R5GS,c150,10.90,32.00,31.33
PVB4S,c024,16.70,25.40,32.71
PVB4S,c023,5.50,18.40,32.71
PVB4S,c022,18.50,24.80,32.71
PVB4S,c127,23.40,30.30,32.71
PVB4S,c020,5.70,18.70,32.71
N2OCX,c149,1.90,11.10,18.25
N2OCX,c153,6.70,13.50,18.25
N2OCX,c098,0.80,17.60,18.25
Q5GVZ,c107,3.40,15.00,29.21
Q5GVZ,c088,3.70,25.30,29.21
Q5GVZ,c034,11.00,16.40,29.21
R7107,c052,0.00,14.00,12.50
R7107,c008,0.20,7.80,12.50
R7107,c123,0.00,14.00,12.50
R7107,c020,3.20,14.00,12.50
R7107,c006,3.50,11.00,12.50
UMOE4,c044,5.00,10.70,11.38
UMOE4,c084,0.00,10.80,11.38
UMOE4,c083,6.50,11.10,11.38
UMOE4,c150,6.20,11.70,11.38
UMOE4,c154,0.00,12.00,11.38
QLWQ4,c000,2.60,14.20,45.92
QLWQ4,c002,21.40,36.00,45.92
QLWQ4,c004,2.40,43.40,45.92
QLWQ4,c001,21.40,43.40,45.92
QLWQ4,c001,2.80,14.40,45.92
QLWQ4,c003,21.20,29.40,45.92
QLWQ4,c002,2.60,9.80,45.92
QLWQ4,c073,3.10,8.90,45.92
QLWQ4,c154,0.00,47.00,45.92
QLWQ4,c071,4.20,14.20,45.92
QLWQ4,c009,9.70,14.90,45.92
QLWQ4,c012,9.30,14.90,45.92
S9P0W,c105,27.10,32.60,38.25
S9P0W,c033,0.00,13.70,38.25
S9P0W,c034,7.20,13.50,38.25
S9P0W,c108,12.40,21.90,38.25
S9P0W,c037,0.00,12.10,38.25
U1DTW,c098,0.00,34.00,32.71
U1DTW,c102,0.00,24.60,32.71
U1DTW,c092,21.80,34.00,32.71
U1DTW,c127,20.80,25.10,32.71
R6CIX,c123,14.70,20.10,30.38
R6CIX,c007,0.00,11.40,30.38
R6CIX,c151,14.70,20.10,30.38
2PREF,c147,1.90,9.70,24.96
2PREF,c113,8.20,15.10,24.96
2PREF,c009,13.90,19.60,24.96
2PREF,c119,0.00,6.00,24.96
2PREF,c112,10.10,15.20,24.96
2PREF,c062,9.90,19.70,24.96
2PREF,c063,8.70,14.40,24.96
2PREF,c061,10.00,19.10,24.96
2PREF,c130,14.60,19.50,24.96
2PREF,c118,0.00,5.50,24.96
57J92,c065,9.40,38.00,36.62
57J92,c098,0.00,38.00,36.62
57J92,c152,9.90,35.40,36.62
57J92,c127,0.00,38.00,36.62
57J92,c067,29.60,34.70,36.62
57J92,c102,1.10,38.00,36.62
57J92,c156,29.80,35.40,36.62
57J92,c132,0.00,38.00,36.62
R2DA8,c119,22.50,30.70,46.17
R2DA8,c153,7.00,17.30,46.17
R2DA8,c011,0.00,19.60,46.17
R2DA8,c143,28.10,33.90,46.17
R2DA8,c052,0.00,17.70,46.17
R2DA8,c154,16.00,21.40,46.17
R2DA8,c059,0.00,20.00,46.17
R2DA8,c120,23.00,27.70,46.17
R2DA8,c126,32.70,44.30,46.17
R2DA8,c064,32.90,43.10,46.17
VCU4P,c070,1.10,21.40,26.92
VCU4P,c071,16.50,24.40,26.92
VCU4P,c075,1.10,19.90,26.92
VCU4P,c152,0.00,4.00,26.92
VCU4P,c009,16.30,24.00,26.92
VCU4P,c149,0.00,3.50,26.92
U3OJV,c015,0.00,29.00,27.67
U3OJV,c106,0.00,29.00,27.67
U3OJV,c059,0.00,29.00,27.67
U3OJV,c016,0.00,29.00,27.67
U3OJV,c107,0.00,29.00,27.67
T1CQE,c021,18.90,27.40,35.62
T1CQE,c023,8.00,14.90,35.62
T1CQE,c050,21.40,29.90,35.62
T1CQE,c125,16.90,37.00,35.62
T1CQE,c022,17.30,29.70,35.62
T1CQE,c048,30.90,37.00,35.62
T1CQE,c135,17.50,37.00,35.62
T1CQE,c151,14.60,20.40,35.62
T1CQE,c020,6.90,31.30,35.62
FPNT1,c047,0.00,18.50,17.88
FPNT1,c031,6.60,11.20,17.88
FPNT1,c040,0.00,14.10,17.88
3ZKDY,c122,0.00,17.90,25.54
3ZKDY,c072,0.00,18.00,25.54
3ZKDY,c146,8.60,27.00,25.54
3MAY9,c015,4.50,20.30,25.79
3MAY9,c108,11.70,19.40,25.79
3MAY9,c105,6.00,23.60,25.79
3MAY9,c106,7.00,19.60,25.79
3MAY9,c087,10.50,26.40,25.79
3MAY9,c107,11.60,27.00,25.79
3MAY9,c081,10.50,15.40,25.79
3MAY9,c017,10.40,15.30,25.79
0TQZQ,c025,14.60,18.80,20.54
0TQZQ,c026,0.00,22.00,20.54
0TQZQ,c032,0.00,18.80,20.54
0TQZQ,c097,15.10,20.30,20.54
G70A2,c082,3.70,12.80,12.04
G70A2,c153,0.00,6.80,12.04
R00LO,c156,24.20,31.30,31.75
R00LO,c063,15.70,21.20,31.75
R00LO,c097,8.80,14.20,31.75
R00LO,c073,8.30,33.00,31.75
R00LO,c118,21.70,33.00,31.75
R00LO,c067,21.70,33.00,31.75
R00LO,c120,21.70,33.00,31.75
R00LO,c061,20.30,33.00,31.75
R00LO,c072,8.70,33.00,31.75
R00LO,c065,23.90,33.00,31.75
CMD0M,c107,16.40,31.00,29.58
CMD0M,c108,17.70,30.70,29.58
CMD0M,c082,0.00,19.70,29.58
CMD0M,c110,16.10,31.00,29.58
2WGSN,c106,0.00,11.10,28.00
2WGSN,c107,0.00,12.00,28.00
2WGSN,c038,13.70,23.60,28.00
2WGSN,c111,8.00,18.30,28.00
2WGSN,c121,15.50,27.10,28.00
2WGSN,c109,0.00,12.20,28.00
2WGSN,c035,14.00,23.30,28.00
2WGSN,c110,7.40,12.40,28.00
KV99H,c021,2.10,13.00,29.96
KV99H,c053,8.80,14.30,29.96
KV99H,c020,1.00,31.00,29.96
KV99H,c023,1.00,6.00,29.96
KV99H,c054,8.00,17.00,29.96
KV99H,c056,8.00,13.00,29.96
KV99H,c028,16.00,23.00,29.96
KV99H,c001,21.10,30.50,29.96
EDVAM,c076,0.00,7.10,15.21
EDVAM,c089,10.20,16.00,15.21
EDVAM,c154,3.10,7.90,15.21
EDVAM,c123,0.00,7.00,15.21
R1S1Z,c024,9.80,15.00,21.67
R1S1Z,c062,0.00,23.00,21.67
R1S1Z,c020,0.00,17.40,21.67
R1S1Z,c125,1.70,20.60,21.67
R1S1Z,c081,3.50,20.70,21.67
R1S1Z,c061,0.00,23.00,21.67
R1S1Z,c154,16.20,21.60,21.67
R1S1Z,c021,0.00,6.60,21.67
R1S1Z,c143,2.00,6.00,21.67
R1S1Z,c064,3.00,15.00,21.67
R1S1Z,c130,3.00,15.00,21.67
FDYQZ,c076,0.00,33.00,31.75
FDYQZ,c155,6.10,16.10,31.75
FDYQZ,c149,0.90,9.20,31.75
FDYQZ,c152,0.90,9.20,31.75
FDYQZ,c096,4.80,16.60,31.75
V3DJ5,c072,0.00,27.00,26.25
V3DJ5,c061,16.90,24.10,26.25
V3DJ5,c063,14.20,24.20,26.25
V3DJ5,c153,11.90,18.70,26.25
V3DJ5,c152,14.20,21.70,26.25
V3DJ5,c122,0.00,27.00,26.25
V3DJ5,c156,14.30,27.00,26.25
9GMHF,c008,12.80,18.70,31.08
9GMHF,c100,14.30,19.90,31.08
9GMHF,c112,11.10,16.60,31.08
9GMHF,c006,12.30,17.30,31.08
9GMHF,c098,15.40,32.00,31.08
9GMHF,c102,17.30,32.00,31.08
9GMHF,c000,0.00,12.70,31.08
9GMHF,c004,0.00,13.70,31.08
9GMHF,c001,0.00,14.60,31.08
G6MYM,c062,17.00,32.00,30.58
G6MYM,c096,0.00,32.00,30.58
G6MYM,c008,8.10,17.00,30.58
G6MYM,c144,16.80,23.90,30.58
G6MYM,c020,11.20,32.00,30.58
G6MYM,c130,14.70,32.00,30.58
G6MYM,c097,10.10,16.20,30.58
G6MYM,c021,15.40,32.00,30.58
7HZHM,c044,3.00,14.50,31.29
7HZHM,c155,9.70,21.70,31.29
7HZHM,c153,15.20,25.30,31.29
7HZHM,c155,23.00,31.10,31.29
7HZHM,c096,3.20,9.70,31.29
7HZHM,c003,17.60,23.60,31.29
7HZHM,c126,16.90,23.40,31.29
XOMJ4,c128,0.50,7.80,28.79
XOMJ4,c129,0.30,19.00,28.79
XOMJ4,c112,15.70,23.50,28.79
XOMJ4,c151,19.20,24.80,28.79
XOMJ4,c128,0.90,24.20,28.79
XOMJ4,c059,19.50,30.00,28.79
XOMJ4,c113,0.00,6.30,28.79
XOMJ4,c009,0.20,5.60,28.79
XOMJ4,c108,6.10,13.20,28.79
XOMJ4,c011,20.50,25.40,28.79
XOMJ4,c109,16.70,22.50,28.79
XOMJ4,c107,2.30,22.00,28.79
XOMJ4,c110,1.90,22.00,28.79
L2ZZB,c015,20.50,28.00,36.29
L2ZZB,c155,0.00,19.30,36.29
L2ZZB,c151,20.30,27.60,36.29
L2ZZB,c001,14.40,22.30,36.29
L2ZZB,c016,30.20,37.00,36.29
L2ZZB,c072,30.00,37.00,36.29
L2ZZB,c124,22.90,37.00,36.29
L2ZZB,c001,0.00,29.40,36.29
L2ZZB,c018,23.40,37.00,36.29
L2ZZB,c016,23.40,37.00,36.29
5ACD3,c109,41.00,46.00,44.50
5ACD3,c092,3.00,30.00,44.50
5ACD3,c154,41.00,46.00,44.50
5ACD3,c009,41.00,46.00,44.50
5ACD3,c106,12.70,28.30,44.50
UAT1F,c048,17.70,26.20,29.83
UAT1F,c025,9.80,15.60,29.83
UAT1F,c027,2.00,8.00,29.83
UAT1F,c030,0.50,7.80,29.83
UAT1F,c081,13.10,23.20,29.83
UAT1F,c009,13.70,20.40,29.83
UAT1F,c026,0.50,18.90,29.83
UAT1F,c028,15.00,20.40,29.83
UAT1F,c116,11.60,20.50,29.83
UAT1F,c052,18.00,25.10,29.83
UAT1F,c115,0.40,20.10,29.83
MZOPX,c151,16.80,24.60,36.46
MZOPX,c052,0.00,19.20,36.46
MZOPX,c111,23.60,37.00,36.46
MZOPX,c121,22.30,37.00,36.46
MZOPX,c059,0.00,21.70,36.46
MZOPX,c011,0.00,24.30,36.46
MZOPX,c014,0.00,22.10,36.46
MZOPX,c051,0.00,22.10,36.46
VLE11,c027,22.20,29.70,33.08
VLE11,c145,22.00,34.00,33.08
VLE11,c011,0.00,34.00,33.08
VLE11,c059,0.00,34.00,33.08
VLE11,c014,22.70,34.00,33.08
VLE11,c016,0.00,15.30,33.08
VLE11,c117,21.20,29.40,33.08
VLE11,c017,19.70,24.90,33.08
VLE11,c015,0.00,24.70,33.08
VLE11,c115,28.80,34.00,33.08
VLE11,c028,21.00,26.90,33.08
VLE11,c009,20.10,24.90,33.08
VLE11,c032,24.50,34.00,33.08
S67WR,c008,24.10,30.00,28.75
S67WR,c136,10.80,26.00,28.75
00SL4,c071,18.00,10.00,8.96
00SL4,c081,18.00,10.00,8.96
00SL4,c008,0.00,2.60,8.96
00SL4,c001,2.40,8.90,8.96
00SL4,c113,1.20,6.50,8.96
00SL4,c112,6.00,10.00,8.96
00SL4,c000,0.30,8.00,8.96
SYMIR,c057,12.90,33.00,35.42
SYMIR,c154,25.60,32.50,35.42
SYMIR,c155,5.30,14.60,35.42
SYMIR,c056,16.10,31.80,35.42
SYMIR,c002,6.20,13.50,35.42
SYMIR,c000,9.30,15.30,35.42
SYMIR,c097,0.10,7.10,35.42
SYMIR,c006,1.20,7.00,35.42
SYMIR,c001,9.30,15.30,35.42
SYMIR,c008,0.00,4.80,35.42
SYMIR,c126,17.70,31.10,35.42
SYMIR,c141,0.30,7.80,35.42
U3VOM,c072,0.00,32.00,30.58
U3VOM,c001,13.10,23.40,30.58
U3VOM,c132,25.10,32.00,30.58
U3VOM,c000,9.90,19.90,30.58
U3VOM,c132,0.00,32.00,30.58
